#Data tag : 19v3 , Norm tag: composite
+-------------+-------------------+-----+------+----------------+---------------+
| run:fill    | time              | nls | ncms | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+-----+------+----------------+---------------+
| 302026:6147 | 08/30/17 06:49:55 | 28  | 28   | 0.004792767    | 0.004651888   |
| 302029:6147 | 08/30/17 07:16:38 | 79  | 79   | 0.016025901    | 0.015281544   |
+-------------+-------------------+-----+------+----------------+---------------+
#Summary: 
+-------+------+-----+------+-------------------+------------------+
| nfill | nrun | nls | ncms | totdelivered(/fb) | totrecorded(/fb) |
+-------+------+-----+------+-------------------+------------------+
| 1     | 2    | 107 | 107  | 0.020818668       | 0.019933432      |
+-------+------+-----+------+-------------------+------------------+

#Check JSON:
#(run,ls) in json but not in results: []
#Data tag : 19v3 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+------+----------------+---------------+
| 305044:6297 | 10/13/17 21:00:45 | 218  | 218  | 0.071576280    | 0.067132644   |
| 305045:6297 | 10/13/17 23:11:07 | 871  | 871  | 0.211072600    | 0.202352038   |
| 305046:6297 | 10/14/17 04:51:45 | 683  | 683  | 0.111406156    | 0.108548626   |
| 305059:6298 | 10/14/17 11:45:00 | 509  | 509  | 0.172401261    | 0.157786386   |
| 305062:6298 | 10/14/17 15:13:17 | 5    | 5    | 0.001683915    | 0.001305638   |
| 305063:6298 | 10/14/17 15:18:15 | 35   | 35   | 0.011546876    | 0.009565485   |
| 305064:6298 | 10/14/17 15:34:27 | 2044 | 2044 | 0.391544311    | 0.380018945   |
| 305081:6300 | 10/15/17 09:06:21 | 1054 | 1054 | 0.333294123    | 0.315140453   |
| 305112:6303 | 10/15/17 23:07:00 | 1455 | 1455 | 0.419299792    | 0.400956804   |
| 305113:6303 | 10/16/17 08:40:46 | 59   | 59   | 0.011402734    | 0.010930752   |
| 305114:6303 | 10/16/17 09:05:22 | 526  | 526  | 0.087283980    | 0.085167818   |
| 305178:6304 | 10/16/17 17:19:50 | 52   | 52   | 0.018111644    | 0.017181663   |
| 305179:6304 | 10/16/17 17:41:42 | 16   | 16   | 0.005573585    | 0.003856497   |
| 305180:6304 | 10/16/17 17:50:42 | 5    | 5    | 0.001728826    | 0.000554954   |
| 305181:6304 | 10/16/17 17:55:03 | 7    | 7    | 0.002465674    | 0.000585574   |
| 305182:6304 | 10/16/17 18:00:34 | 5    | 5    | 0.001738958    | 0.000951367   |
| 305183:6304 | 10/16/17 18:04:56 | 232  | 232  | 0.080660377    | 0.077319804   |
| 305184:6304 | 10/16/17 19:50:14 | 4    | 4    | 0.001373728    | 0.000103732   |
