#Data tag : 19v3 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 304209:6263 | 10/02/17 05:33:50 | 405  | 405  | 0.126121024    | 0.116173536   |
| 304291:6266 | 10/02/17 17:40:12 | 30   | 22   | 0.008571483    | 0.003372765   |
| 304292:6266 | 10/02/17 17:51:42 | 1753 | 1753 | 0.367803706    | 0.347239887   |
| 304333:6268 | 10/03/17 11:50:16 | 1580 | 1580 | 0.382161342    | 0.366646071   |
| 304354:6269 | 10/04/17 03:17:59 | 214  | 214  | 0.072347948    | 0.068254535   |
| 304366:6271 | 10/04/17 09:20:21 | 1819 | 1819 | 0.435690667    | 0.419018022   |
| 304446:6272 | 10/05/17 00:46:48 | 55   | 55   | 0.019514966    | 0.016790734   |
| 304447:6272 | 10/05/17 01:17:36 | 1639 | 1639 | 0.386189265    | 0.368514943   |
| 304451:6272 | 10/05/17 12:15:05 | 60   | 54   | 0.008736541    | 0.007415690   |
| 304505:6275 | 10/05/17 18:53:15 | 27   | 26   | 0.009511604    | 0.007711608   |
| 304506:6275 | 10/05/17 19:04:50 | 370  | 370  | 0.124625294    | 0.119535842   |
| 304507:6275 | 10/05/17 21:32:15 | 239  | 235  | 0.070334560    | 0.050591787   |
| 304508:6275 | 10/05/17 23:07:03 | 1324 | 1324 | 0.254739967    | 0.248024590   |
| 304562:6276 | 10/06/17 12:30:33 | 794  | 794  | 0.235445282    | 0.221933738   |
| 304616:6278 | 10/06/17 22:15:30 | 942  | 942  | 0.267760823    | 0.253368597   |
| 304625:6279 | 10/07/17 07:35:53 | 464  | 462  | 0.155528888    | 0.136309938   |
| 304626:6279 | 10/07/17 10:38:44 | 8    | 8    | 0.002531789    | 0.002315882   |
| 304654:6283 | 10/08/17 01:25:39 | 652  | 645  | 0.207534379    | 0.173597580   |
| 304655:6283 | 10/08/17 05:39:51 | 1194 | 1194 | 0.238836044    | 0.229947014   |
| 304661:6284 | 10/08/17 15:49:49 | 145  | 142  | 0.050076025    | 0.046163719   |
| 304662:6284 | 10/08/17 17:02:49 | 150  | 147  | 0.048247116    | 0.043509010   |
| 304663:6284 | 10/08/17 18:03:25 | 689  | 689  | 0.185544278    | 0.177083905   |
| 304671:6285 | 10/09/17 00:42:58 | 1143 | 1139 | 0.326111694    | 0.308364239   |
| 304672:6285 | 10/09/17 08:09:10 | 60   | 60   | 0.012453585    | 0.012167963   |
| 304737:6287 | 10/09/17 19:53:10 | 81   | 75   | 0.027920028    | 0.024061358   |
| 304738:6287 | 10/09/17 20:24:42 | 1681 | 1677 | 0.426729367    | 0.409354391   |
| 304739:6287 | 10/10/17 07:20:18 | 14   | 11   | 0.002200828    | 0.001550956   |
| 304740:6287 | 10/10/17 07:25:27 | 278  | 278  | 0.040808991    | 0.039852170   |
| 304776:6288 | 10/10/17 12:08:18 | 50   | 41   | 0.017214262    | 0.009373711   |
| 304777:6288 | 10/10/17 12:27:41 | 504  | 497  | 0.166494462    | 0.156559623   |
| 304778:6288 | 10/10/17 15:47:07 | 1297 | 1297 | 0.273930564    | 0.266216593   |
| 304797:6291 | 10/11/17 07:04:09 | 2910 | 2910 | 0.579665722    | 0.557402679   |
| 305044:6297 | 10/13/17 21:00:45 | 222  | 218  | 0.072793905    | 0.067132644   |
| 305045:6297 | 10/13/17 23:11:07 | 873  | 873  | 0.211531418    | 0.202352038   |
| 305046:6297 | 10/14/17 04:51:45 | 683  | 683  | 0.111406156    | 0.108548626   |
| 305059:6298 | 10/14/17 11:45:00 | 512  | 510  | 0.173430432    | 0.157786386   |
| 305062:6298 | 10/14/17 15:13:17 | 8    | 5    | 0.002691613    | 0.001305638   |
| 305063:6298 | 10/14/17 15:18:15 | 35   | 35   | 0.011546876    | 0.009565485   |
| 305064:6298 | 10/14/17 15:34:27 | 2045 | 2045 | 0.391763826    | 0.380018945   |
| 305081:6300 | 10/15/17 09:05:35 | 1056 | 1056 | 0.333987552    | 0.315140453   |
| 305112:6303 | 10/15/17 23:07:00 | 1460 | 1455 | 0.420290538    | 0.400956804   |
| 305113:6303 | 10/16/17 08:40:46 | 64   | 59   | 0.012353643    | 0.010930752   |
| 305114:6303 | 10/16/17 09:05:22 | 526  | 526  | 0.087283980    | 0.085167818   |
| 305178:6304 | 10/16/17 17:19:50 | 56   | 53   | 0.019523176    | 0.017181663   |
| 305179:6304 | 10/16/17 17:41:42 | 21   | 17   | 0.007322397    | 0.003856497   |
| 305180:6304 | 10/16/17 17:50:42 | 9    | 5    | 0.003106355    | 0.000554954   |
| 305181:6304 | 10/16/17 17:55:03 | 8    | 7    | 0.002816682    | 0.000585574   |
| 305182:6304 | 10/16/17 18:00:34 | 8    | 5    | 0.002775101    | 0.000951367   |
| 305183:6304 | 10/16/17 18:04:56 | 236  | 232  | 0.082035826    | 0.077319804   |
| 305184:6304 | 10/16/17 19:50:14 | 8    | 8    | 0.002747195    | 0.000103732   |
| 305186:6304 | 10/16/17 19:58:49 | 415  | 415  | 0.127495967    | 0.122050118   |
| 305188:6304 | 10/16/17 23:07:05 | 1002 | 1002 | 0.204476365    | 0.198329647   |
| 305202:6305 | 10/17/17 08:18:29 | 653  | 648  | 0.221934118    | 0.207759559   |
| 305204:6305 | 10/17/17 13:20:31 | 1229 | 1229 | 0.262804247    | 0.254512562   |
| 305207:6306 | 10/17/17 23:34:03 | 1026 | 1026 | 0.331401883    | 0.318101281   |
| 305208:6306 | 10/18/17 06:15:41 | 372  | 372  | 0.086604556    | 0.083056036   |
| 305234:6307 | 10/18/17 11:00:15 | 48   | 46   | 0.016759135    | 0.012655354   |
| 305236:6307 | 10/18/17 11:28:42 | 23   | 23   | 0.008001486    | 0.006486870   |
| 305237:6307 | 10/18/17 11:42:18 | 1146 | 1146 | 0.353830403    | 0.337866398   |
| 305247:6308 | 10/18/17 23:58:28 | 377  | 375  | 0.131423852    | 0.122425911   |
| 305248:6308 | 10/19/17 02:26:29 | 957  | 952  | 0.272850654    | 0.257882530   |
| 305252:6308 | 10/19/17 09:09:00 | 548  | 548  | 0.097354287    | 0.095039739   |
| 305282:6309 | 10/19/17 15:28:19 | 133  | 133  | 0.046409666    | 0.044344542   |
| 305310:6311 | 10/19/17 20:28:01 | 394  | 389  | 0.137262332    | 0.127514929   |
| 305311:6311 | 10/19/17 23:03:23 | 153  | 153  | 0.050760572    | 0.047386625   |
| 305312:6311 | 10/20/17 00:05:08 | 227  | 227  | 0.072385318    | 0.068271226   |
| 305313:6311 | 10/20/17 01:35:47 | 741  | 739  | 0.178579346    | 0.170164197   |
| 305314:6311 | 10/20/17 06:25:45 | 404  | 404  | 0.070088392    | 0.068334406   |
| 305336:6312 | 10/20/17 12:11:09 | 206  | 206  | 0.071098447    | 0.066202888   |
| 305338:6312 | 10/20/17 13:32:38 | 107  | 103  | 0.036719746    | 0.033111775   |
| 305341:6312 | 10/20/17 14:14:05 | 503  | 500  | 0.160209896    | 0.151780463   |
| 305349:6312 | 10/20/17 17:29:36 | 34   | 30   | 0.009358371    | 0.003880846   |
| 305350:6312 | 10/20/17 17:43:01 | 21   | 15   | 0.005679796    | 0.003820111   |
| 305351:6312 | 10/20/17 17:51:38 | 868  | 868  | 0.185011654    | 0.178341011   |
| 305358:6313 | 10/21/17 02:01:05 | 162  | 158  | 0.056566080    | 0.049593829   |
| 305364:6314 | 10/21/17 05:43:21 | 98   | 94   | 0.033906825    | 0.030414385   |
| 305365:6314 | 10/21/17 06:21:12 | 825  | 825  | 0.261561501    | 0.248985048   |
| 305366:6314 | 10/21/17 11:46:55 | 1239 | 1239 | 0.239446349    | 0.232273985   |
| 305376:6315 | 10/22/17 00:11:09 | 98   | 98   | 0.034220032    | 0.032670779   |
| 305377:6315 | 10/22/17 01:10:10 | 1514 | 1514 | 0.417257853    | 0.398851417   |
| 305405:6317 | 10/22/17 18:15:49 | 496  | 494  | 0.170004765    | 0.159491167   |
| 305406:6317 | 10/22/17 21:45:00 | 1458 | 1458 | 0.328170351    | 0.316024204   |
| 305440:6318 | 10/23/17 10:50:33 | 272  | 266  | 0.094463648    | 0.083253340   |
| 305441:6318 | 10/23/17 12:36:13 | 121  | 121  | 0.038085372    | 0.036615177   |
| 305516:6323 | 10/23/17 23:42:58 | 555  | 552  | 0.187372471    | 0.170811889   |
| 305517:6323 | 10/24/17 03:42:14 | 163  | 163  | 0.049736159    | 0.033973948   |
| 305518:6323 | 10/24/17 04:48:59 | 1134 | 1134 | 0.242865953    | 0.233807313   |
| 305586:6324 | 10/24/17 17:46:56 | 531  | 531  | 0.180913877    | 0.171033459   |
| 305589:6324 | 10/24/17 22:47:21 | 691  | 691  | 0.170274056    | 0.162878243   |
| 305590:6324 | 10/25/17 03:17:26 | 1004 | 1004 | 0.155970996    | 0.151936421   |
| 305636:6325 | 10/25/17 13:27:50 | 2326 | 2326 | 0.548675103    | 0.525219671   |
| 305766:6337 | 10/27/17 04:37:33 | 848  | 847  | 0.277111803    | 0.263961475   |
| 305809:6341 | 10/27/17 23:20:38 | 142  | 142  | 0.048880031    | 0.045952441   |
| 305814:6343 | 10/28/17 06:17:08 | 1823 | 1823 | 0.469026860    | 0.446803627   |
| 305821:6344 | 10/28/17 20:29:22 | 772  | 772  | 0.255098811    | 0.240463320   |
| 305832:6346 | 10/29/17 11:22:50 | 180  | 180  | 0.062759526    | 0.058021275   |
| 305840:6346 | 10/29/17 15:39:01 | 1144 | 1141 | 0.262656293    | 0.251347322   |
| 305842:6346 | 10/29/17 23:07:26 | 862  | 862  | 0.117828015    | 0.114870231   |
| 305862:6347 | 10/30/17 11:28:42 | 625  | 625  | 0.212680289    | 0.202188598   |
| 305898:6348 | 10/30/17 20:22:11 | 711  | 711  | 0.241359854    | 0.230935201   |
| 305902:6349 | 10/31/17 04:27:05 | 469  | 469  | 0.161708801    | 0.154344858   |
| 305967:6351 | 10/31/17 16:08:26 | 32   | 32   | 0.011124217    | 0.010507825   |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+-------+-------+-------------------+------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/fb) | totrecorded(/fb) |
+-------+------+-------+-------+-------------------+------------------+
| 67    | 144  | 91047 | 90815 | 21.693417183      | 20.596066534     |
+-------+------+-------+-------+-------------------+------------------+

#Check JSON:
#(run,ls) in json but not in results: []
#Data tag : 19v3 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+------+----------------+---------------+
| 306029:6355 | 11/01/17 18:28:41 | 34   | 32   | 0.011862733    | 0.009157238   |
| 306030:6355 | 11/01/17 18:42:20 | 110  | 110  | 0.038360904    | 0.034967629   |
| 306036:6356 | 11/01/17 22:43:47 | 4    | 4    | 0.001396019    | 0.000072865   |
| 306037:6356 | 11/01/17 22:46:26 | 49   | 44   | 0.017114982    | 0.012206880   |
| 306038:6356 | 11/01/17 23:06:46 | 139  | 138  | 0.048510791    | 0.044162104   |
| 306041:6356 | 11/02/17 00:07:18 | 320  | 320  | 0.107522656    | 0.100003850   |
| 306042:6356 | 11/02/17 02:14:22 | 371  | 365  | 0.107569528    | 0.100185074   |
| 306048:6356 | 11/02/17 04:39:06 | 140  | 136  | 0.035441261    | 0.032036620   |
| 306049:6356 | 11/02/17 05:33:33 | 358  | 358  | 0.078872655    | 0.075297556   |
| 306051:6356 | 11/02/17 08:00:13 | 415  | 415  | 0.072669368    | 0.070670052   |
| 306091:6358 | 11/02/17 18:43:55 | 208  | 198  | 0.068644510    | 0.060611342   |
| 306092:6358 | 11/02/17 20:04:27 | 972  | 972  | 0.235038926    | 0.220128194   |
| 306095:6358 | 11/03/17 02:42:56 | 300  | 300  | 0.050435816    | 0.049130689   |
| 306121:6360 | 11/03/17 13:15:57 | 96   | 91   | 0.033481999    | 0.028670528   |
| 306122:6360 | 11/03/17 13:53:17 | 127  | 127  | 0.044337089    | 0.040636078   |
| 306125:6360 | 11/03/17 14:46:12 | 2970 | 2964 | 0.581597332    | 0.560771797   |
| 306126:6360 | 11/04/17 10:14:24 | 497  | 497  | 0.030334921    | 0.029717428   |
| 306134:6362 | 11/04/17 17:39:47 | 32   | 24   | 0.011177110    | 0.006957271   |
| 306135:6362 | 11/04/17 17:52:01 | 1095 | 1095 | 0.349232517    | 0.329516189   |
| 306138:6362 | 11/05/17 01:32:21 | 1298 | 1298 | 0.218013924    | 0.211381092   |
| 306139:6362 | 11/05/17 10:17:58 | 1112 | 1112 | 0.103464849    | 0.101514714   |
| 306153:6364 | 11/06/17 02:35:56 | 88   | 83   | 0.030690529    | 0.026435393   |
| 306154:6364 | 11/06/17 03:10:19 | 1215 | 1213 | 0.362689072    | 0.334755794   |
| 306155:6364 | 11/06/17 11:12:05 | 1440 | 1440 | 0.225439982    | 0.219491926   |
| 306169:6364 | 11/06/17 21:43:34 | 745  | 735  | 0.069118464    | 0.066299041   |
| 306170:6364 | 11/07/17 02:33:04 | 22   | 15   | 0.001776696    | 0.001135254   |
| 306171:6364 | 11/07/17 02:41:35 | 503  | 503  | 0.036343851    | 0.035728272   |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+-------+-------+-------------------+------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/fb) | totrecorded(/fb) |
+-------+------+-------+-------+-------------------+------------------+
| 6     | 27   | 14660 | 14589 | 2.971138486       | 2.801640872      |
+-------+------+-------+-------+-------------------+------------------+

#Check JSON:
#(run,ls) in json but not in results: []
#Data tag : 19v3 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+------+----------------+---------------+
| 306418:6370 | 11/09/17 02:11:31 | 74   | 66   | 0.025747778    | 0.020778732   |
| 306419:6370 | 11/09/17 02:41:06 | 62   | 58   | 0.021518254    | 0.018423612   |
| 306420:6370 | 11/09/17 03:06:38 | 108  | 108  | 0.037260249    | 0.034221123   |
| 306422:6370 | 11/09/17 04:30:37 | 118  | 115  | 0.037699651    | 0.034684710   |
| 306423:6370 | 11/09/17 05:16:28 | 333  | 323  | 0.093302622    | 0.085778258   |
| 306432:6370 | 11/09/17 08:44:06 | 339  | 339  | 0.034315611    | 0.033338319   |
| 306454:6371 | 11/09/17 14:18:49 | 89   | 85   | 0.030892064    | 0.026851397   |
| 306455:6371 | 11/09/17 14:53:13 | 11   | 6    | 0.003852815    | 0.001621957   |
| 306456:6371 | 11/09/17 14:58:09 | 786  | 783  | 0.248532429    | 0.237025486   |
| 306457:6371 | 11/09/17 20:03:47 | 31   | 28   | 0.007985063    | 0.006686619   |
| 306458:6371 | 11/09/17 20:15:39 | 225  | 221  | 0.054381066    | 0.051452197   |
