#Data tag : 19v3 , Norm tag: composite
+-------------+-------------------+------+----------------------+----------------+---------------+
| run:fill    | time              | ncms | hltpath              | delivered(/fb) | recorded(/fb) |
| 305182:6304 | 10/16/17 18:00:34 | 5    | HLT_DiPFJetAve60_v10 | 0.000000139    | 0.000000076   |
| 305183:6304 | 10/16/17 18:04:56 | 232  | HLT_DiPFJetAve60_v10 | 0.000000806    | 0.000000773   |
| 305184:6304 | 10/16/17 19:50:14 | 8    | HLT_DiPFJetAve60_v10 | 0.000000220    | 0.000000008   |
| 305186:6304 | 10/16/17 19:58:49 | 415  | HLT_DiPFJetAve60_v10 | 0.000001501    | 0.000001435   |
| 305188:6304 | 10/16/17 23:07:05 | 1002 | HLT_DiPFJetAve60_v10 | 0.000009342    | 0.000009060   |
| 305202:6305 | 10/17/17 08:18:29 | 648  | HLT_DiPFJetAve60_v10 | 0.000002284    | 0.000002150   |
| 305204:6305 | 10/17/17 13:20:31 | 1229 | HLT_DiPFJetAve60_v10 | 0.000005219    | 0.000005059   |
| 305207:6306 | 10/17/17 23:34:03 | 1026 | HLT_DiPFJetAve60_v10 | 0.000003782    | 0.000003628   |
| 305208:6306 | 10/18/17 06:15:41 | 372  | HLT_DiPFJetAve60_v10 | 0.000001696    | 0.000001626   |
| 305234:6307 | 10/18/17 11:00:15 | 46   | HLT_DiPFJetAve60_v10 | 0.000000178    | 0.000000139   |
| 305236:6307 | 10/18/17 11:28:42 | 23   | HLT_DiPFJetAve60_v10 | 0.000000091    | 0.000000074   |
| 305237:6307 | 10/18/17 11:42:18 | 1146 | HLT_DiPFJetAve60_v10 | 0.000004859    | 0.000004644   |
| 305247:6308 | 10/18/17 23:58:28 | 375  | HLT_DiPFJetAve60_v10 | 0.000001493    | 0.000001399   |
| 305248:6308 | 10/19/17 02:26:29 | 952  | HLT_DiPFJetAve60_v10 | 0.000004014    | 0.000003810   |
| 305252:6308 | 10/19/17 09:09:00 | 548  | HLT_DiPFJetAve60_v10 | 0.000002356    | 0.000002302   |
| 305282:6309 | 10/19/17 15:28:19 | 133  | HLT_DiPFJetAve60_v10 | 0.000000524    | 0.000000501   |
| 305310:6311 | 10/19/17 20:28:01 | 389  | HLT_DiPFJetAve60_v10 | 0.000001546    | 0.000001455   |
| 305311:6311 | 10/19/17 23:03:23 | 153  | HLT_DiPFJetAve60_v10 | 0.000000580    | 0.000000541   |
| 305312:6311 | 10/20/17 00:05:08 | 227  | HLT_DiPFJetAve60_v10 | 0.000000892    | 0.000000840   |
| 305313:6311 | 10/20/17 01:35:47 | 739  | HLT_DiPFJetAve60_v10 | 0.000003230    | 0.000003083   |
| 305314:6311 | 10/20/17 06:25:45 | 404  | HLT_DiPFJetAve60_v10 | 0.000001851    | 0.000001804   |
| 305336:6312 | 10/20/17 12:11:09 | 206  | HLT_DiPFJetAve60_v10 | 0.000000711    | 0.000000662   |
| 305338:6312 | 10/20/17 13:32:38 | 103  | HLT_DiPFJetAve60_v10 | 0.000000353    | 0.000000331   |
| 305341:6312 | 10/20/17 14:14:05 | 500  | HLT_DiPFJetAve60_v10 | 0.000001743    | 0.000001657   |
| 305349:6312 | 10/20/17 17:29:36 | 30   | HLT_DiPFJetAve60_v10 | 0.000000113    | 0.000000053   |
| 305350:6312 | 10/20/17 17:43:01 | 15   | HLT_DiPFJetAve60_v10 | 0.000000070    | 0.000000065   |
| 305351:6312 | 10/20/17 17:51:38 | 868  | HLT_DiPFJetAve60_v10 | 0.000003957    | 0.000003821   |
| 305358:6313 | 10/21/17 02:01:05 | 158  | HLT_DiPFJetAve60_v10 | 0.000000552    | 0.000000496   |
| 305364:6314 | 10/21/17 05:43:21 | 94   | HLT_DiPFJetAve60_v10 | 0.000000325    | 0.000000304   |
| 305365:6314 | 10/21/17 06:21:12 | 825  | HLT_DiPFJetAve60_v10 | 0.000003001    | 0.000002851   |
| 305366:6314 | 10/21/17 11:46:55 | 1239 | HLT_DiPFJetAve60_v10 | 0.000005654    | 0.000005492   |
| 305376:6315 | 10/22/17 00:11:09 | 98   | HLT_DiPFJetAve60_v10 | 0.000000342    | 0.000000327   |
